9606.ENSP00000290866	1655	1
9606.ENSP00000479870	724	-1
9606.ENSP00000264870	859	1
9606.ENSP00000308541	2045	1
9606.ENSP00000356771	628	1
9606.ENSP00000364731	494	1
9606.ENSP00000306361	1142	1
9606.ENSP00000306099	925	1
9606.ENSP00000329380	826	1
9606.ENSP00000399168	1005	-1
9606.ENSP00000364080	1001	-1
9606.ENSP00000378786	1025	-1
9606.ENSP00000353099	1246	-1
9606.ENSP00000264832	2005	1
9606.ENSP00000263341	2695	1
9606.ENSP00000385675	4118	1
9606.ENSP00000296585	946	1
9606.ENSP00000262407	1035	1
9606.ENSP00000007722	785	-1
9606.ENSP00000380227	1035	-1
9606.ENSP00000452786	1429	1
9606.ENSP00000215754	881	-1
9606.ENSP00000252486	2845	1
9606.ENSP00000299855	1411	1
9606.ENSP00000365777	1560	1
9606.ENSP00000297494	2086	1
9606.ENSP00000265074	694	-1
9606.ENSP00000345502	928	-1
9606.ENSP00000220809	988	1
9606.ENSP00000222381	617	1
9606.ENSP00000344458	375	1
9606.ENSP00000331736	1290	1
9606.ENSP00000416066	1600	1
9606.ENSP00000375844	683	-1
9606.ENSP00000223095	1551	1
9606.ENSP00000263980	751	-1
9606.ENSP00000363089	3182	-1
9606.ENSP00000398698	4767	1
9606.ENSP00000225831	2221	1
9606.ENSP00000304236	679	-1
9606.ENSP00000255030	1652	1
9606.ENSP00000430269	1631	-1
9606.ENSP00000253496	699	1
