AHR
AHSG
AR
ARNT
CCL5
CCR2
CCR5
COMT
CTLA4
CYP17A1
CYP19A1
CYP1A1
CYP1B1
CYP2E1
EPHXQ
ESR1
ESR2
FAS
FASLG
GALT
GSTM1
GSTT1
HLA-A
HLA-B
HLA-C
HLA-DPB1
HLA-DQA1
HLA-DQB1
HLA-DRBQ
HSD17B1
ICAM1
IFNG
IL4
IL6
MMP1
MMP3
MPO
NAT2
NRIP1
PGR
TNF
TNFRSF1B
VEGFA

