9606.ENSP00000242057
9606.ENSP00000393887
9606.ENSP00000379683	2
9606.ENSP00000369050
9606.ENSP00000478561
9606.ENSP00000440689
9606.ENSP00000405330
9606.ENSP00000343925	2
9606.ENSP00000347979
9606.ENSP00000356694
9606.ENSP00000368119
9606.ENSP00000363822
9606.ENSP00000311469
9606.ENSP00000379873
9606.ENSP00000399168
9606.ENSP00000365402
9606.ENSP00000408146
9606.ENSP00000339398
9606.ENSP00000364080
9606.ENSP00000466799
9606.ENSP00000351407
9606.ENSP00000264832
9606.ENSP00000229135
9606.ENSP00000231449
9606.ENSP00000385675	2
9606.ENSP00000322788
9606.ENSP00000299855
9606.ENSP00000225275
9606.ENSP00000286479
9606.ENSP00000383063
9606.ENSP00000325120	2
9606.ENSP00000474412
9606.ENSP00000398698
9606.ENSP00000365435
9606.ENSP00000478570	2
9606.ENSP00000292301
9606.ENSP00000292303
9606.ENSP00000354511
9606.ENSP00000303939
9606.ENSP00000358903
