9606.ENSP00000269305
9606.ENSP00000265849
9606.ENSP00000447378
9606.ENSP00000227507
9606.ENSP00000385036
9606.ENSP00000278616
9606.ENSP00000293288
9606.ENSP00000445868
9606.ENSP00000286827
9606.ENSP00000349723
9606.ENSP00000296930
9606.ENSP00000340944
9606.ENSP00000286186
9606.ENSP00000350844
9606.ENSP00000164227
9606.ENSP00000419485
9606.ENSP00000386616
9606.ENSP00000338774
9606.ENSP00000360181
9606.ENSP00000005587
9606.ENSP00000375220
9606.ENSP00000358983
9606.ENSP00000263932
9606.ENSP00000479904
9606.ENSP00000357402
9606.ENSP00000276603
9606.ENSP00000295025
9606.ENSP00000320147
9606.ENSP00000393312
9606.ENSP00000264033
9606.ENSP00000286758
9606.ENSP00000288602
9606.ENSP00000464087
9606.ENSP00000437188
9606.ENSP00000401371
9606.ENSP00000369674
9606.ENSP00000411073
9606.ENSP00000401399
9606.ENSP00000280082
9606.ENSP00000354691
9606.ENSP00000433277
9606.ENSP00000347979
9606.ENSP00000371219
9606.ENSP00000358092
9606.ENSP00000389455
9606.ENSP00000343223
9606.ENSP00000229335
9606.ENSP00000271532
9606.ENSP00000234739
9606.ENSP00000452780
9606.ENSP00000367422
9606.ENSP00000380150
9606.ENSP00000325917
9606.ENSP00000293805
9606.ENSP00000370343
9606.ENSP00000359382
9606.ENSP00000478255
9606.ENSP00000372023
9606.ENSP00000223795
9606.ENSP00000398632
9606.ENSP00000226279
9606.ENSP00000257904
9606.ENSP00000360365
9606.ENSP00000265734
9606.ENSP00000258149
9606.ENSP00000398568
9606.ENSP00000335062
9606.ENSP00000381185
9606.ENSP00000384371
9606.ENSP00000373700
9606.ENSP00000479618
9606.ENSP00000359612
