CDKN2B-AS1
WNT4
H19
RN7SL7P
MIR145
MIR29C
MIR20A
MIR126
MIR141
ENDO1
MIR200A
MIR142
MIr200B
MIR424
MIR143
MIR196B
MIR100
MIR99A
MIR125A
MIR150
MIR34C
MIR99B
PGR
GNRH1
ESR1
HOXA10
PTEN
CXCL8
NR5A1
CCL2
HSD17B1
MUC16
IL1B
IL1R2
PAEP
STX5
MIR223
CYP19A1
ESR2
IL6
PGR
VEGFA
