ACE
ALOX5AP
AP0A1
CAPN10
CCL2
CRP
EPHX2
F12
F13A1
F2
F5
F7
FGA
FGB
GP1BA
HLA-B
HLA-DQB1
HLA-DRA
HLA-DRB1
ICAM1
IL1B
IL6
ITGA2
ITGA2B
ITGA3
ITGA4
ITGB3
MIF
MMP3
MTHFR
NOS3
NPR3
PDE4D
PLAT
PON1
PROZ
SELE
SERPINA1
SERPINE1
SLC9A1
TLR4
TNF

