TP53
PMS2
PTPN11
GCL6
PVT1
SNHG5
DLEU2
GAS5
ALK
BCL10
 MALT
CCND1
TCL1A
CxC45
ATM
BAX
BCL7A
TIAM1
BCL11B
NPM1
CASP10
PAX5
BCL3
GCSAM
ZC3H12D
BCL11A
SH2D1A
KLHDC8E
PRAP
CTAGE1
NFKB2
TNFRSF8
ZMYM2
NKAIN2
KBSR
PIN2
REL
EZH2
FGFR1
CBL
CXCL13
BRAF
RNF213
TIAM2
TIA1
BCL7C
BCL7B
MYD88
MIA2
FCRL5
MS4A1
FAS
RHOH
PRDM1
DIRC3
TCL1B
AICDA
FCRL4
BCL9
B2M
CARD11
AMPP
PCSK7
BCL6B
CB27
IRF4
PASD1
ABCB1
CHEK2
TNFSF8
CD44
CD38
CDK4
MCTS1
CDK6
MDM2
PRF1
PDCD1
BCL2
BCL6
MYC
