9606.ENSP00000290866
9606.ENSP00000389814
9606.ENSP00000368683
9606.ENSP00000356946
9606.ENSP00000311469
9606.ENSP00000381607
9606.ENSP00000379873
9606.ENSP00000399168
9606.ENSP00000365402
9606.ENSP00000408146
9606.ENSP00000339398
9606.ENSP00000381185	2
9606.ENSP00000364080
9606.ENSP00000263341
9606.ENSP00000312652
9606.ENSP00000330393
9606.ENSP00000365777
9606.ENSP00000355536
9606.ENSP00000479618	2
9606.ENSP00000443194
9606.ENSP00000286479
9606.ENSP00000384371	2
9606.ENSP00000319788
9606.ENSP00000302150
9606.ENSP00000371321
9606.ENSP00000318868
9606.ENSP00000363089
9606.ENSP00000398698
9606.ENSP00000162749
9606.ENSP00000365435
9606.ENSP00000411532
9606.ENSP00000269305
9606.ENSP00000384849
9606.ENSP00000315644
9606.ENSP00000354511
9606.ENSP00000303939
9606.ENSP00000358903
9606.ENSP00000369050
9606.ENSP00000440689
