9606.ENSP00000329127
9606.ENSP00000263388
9606.ENSP00000205948
9606.ENSP00000334145
9606.ENSP00000261405
9606.ENSP00000366307
9606.ENSP00000378570
9606.ENSP00000255030
9606.ENSP00000244043
9606.ENSP00000215727
9606.ENSP00000321334
9606.ENSP00000454071
9606.ENSP00000308938
9606.ENSP00000365227
9606.ENSP00000419422
9606.ENSP00000360250
9606.ENSP00000379563
9606.ENSP00000296028
9606.ENSP00000379204
9606.ENSP00000397441
9606.ENSP00000308782
9606.ENSP00000339787
9606.ENSP00000302961
9606.ENSP00000272190
9606.ENSP00000372654
9606.ENSP00000274793
9606.ENSP00000307259
9606.ENSP00000233242
9606.ENSP00000451828
9606.ENSP00000298352
9606.ENSP00000483872
9606.ENSP00000325527
9606.ENSP00000357206
9606.ENSP00000312326
9606.ENSP00000353508
9606.ENSP00000287936
9606.ENSP00000321853
9606.ENSP00000387699
9606.ENSP00000381448
9606.ENSP00000409007
9606.ENSP00000307786
9606.ENSP00000222572
9606.ENSP00000380958
9606.ENSP00000364709
9606.ENSP00000345347
9606.ENSP00000380252
9606.ENSP00000311032
9606.ENSP00000322421
9606.ENSP00000218516
9606.ENSP00000337838
9606.ENSP00000263967
9606.ENSP00000360973
9606.ENSP00000290866
9606.ENSP00000479870
9606.ENSP00000252486
9606.ENSP00000430269
9606.ENSP00000308541
9606.ENSP00000356771
9606.ENSP00000364731
9606.ENSP00000365777
9606.ENSP00000276925
9606.ENSP00000297494
9606.ENSP00000345502
9606.ENSP00000220809
9606.ENSP00000222381
9606.ENSP00000344458
9606.ENSP00000223095
9606.ENSP00000263980
9606.ENSP00000363089
9606.ENSP00000485396
