PRKCH
NOTCH3
LDLR
ACSL4
FBN1
MTTL1
PIK3CA
CDKN2B
MALAT1
MIAT
APOH
F3
VWF
THBD
SULT1A3
CRP
P4F
PTGIS
SERPIND1
LPA
PLG
AIF1
AGTR1
ENTPD1
EN02
TSPO
PPBP
BMP7
COD2
GP6
HSPA4
REN
AQP4
PLA2G7
p2RY12
APOB
AKT1
NGB
TSPAN33
MROS
NES
AOC3
TBSA2R
MAP2
HMGCR
SERPINF2
CREB1
CST3
ATS13
GDNF
CYCS
PON2
MBP
F10
HMGB1
NFE2L2
CASP3
HBA1
GLA
RTN4
AGTR2
NIR15A
ACE
ALOX5AP
APOE
EPHX2
F2
F5
F7
MTHFR
NOS3
PDE4D
PLAT
PON1
PROZ
SERPINE1
SLC9A1
TLR4
