# NCBI taxid / display name / STRING 
9606	PPP2R5C	9606.ENSP00000412324
9606	ZNF713	9606.ENSP00000416662
9606	RPN2	9606.ENSP00000237530
9606	MYO5C	9606.ENSP00000261839
9606	TRAF2	9606.ENSP00000247668
9606	HN1L	9606.ENSP00000248098
9606	GNB5	9606.ENSP00000261837
9606	SLC47A2	9606.ENSP00000326671
9606	COMMD5	9606.ENSP00000394331
9606	HTR2C	9606.ENSP00000276198
9606	LINGO2	9606.ENSP00000369328
9606	PYURF	9606.ENSP00000273968
9606	PHF13	9606.ENSP00000366876
9606	ARL14EPL	9606.ENSP00000472409
9606	ANKRD23	9606.ENSP00000321679
9606	TRMT10A	9606.ENSP00000273962
9606	KLHL8	9606.ENSP00000273963
9606	DOCK5	9606.ENSP00000276440
9606	HEXIM1	9606.ENSP00000328773
9606	PAGE5	9606.ENSP00000289619
9606	SOX13	9606.ENSP00000356172
9606	ADAMTS20	9606.ENSP00000374071
9606	PIK3CA	9606.ENSP00000263967
9606	USP13	9606.ENSP00000263966
9606	CD24	9606.ENSP00000483985
9606	KRT17	9606.ENSP00000308452
9606	COQ10B	9606.ENSP00000263960
9606	GP2	9606.ENSP00000370767
9606	KRT26	9606.ENSP00000334798
9606	GOLGA8S	9606.ENSP00000455298
9606	LYRM5	9606.ENSP00000370761
9606	ANO7	9606.ENSP00000274979
9606	TBC1D8B	9606.ENSP00000349781
9606	TMEM99	9606.ENSP00000482364
9606	HEBP2	9606.ENSP00000475750
9606	ADAM30	9606.ENSP00000358407
9606	RHD	9606.ENSP00000339577
9606	MDN1	9606.ENSP00000358400
9606	CXXC5	9606.ENSP00000302543
9606	NPFF	9606.ENSP00000267017
9606	MPLKIP	9606.ENSP00000304553
9606	PREP	9606.ENSP00000358106
9606	DOK4	9606.ENSP00000344277
9606	SLCO3A1	9606.ENSP00000320634
9606	HOXD4	9606.ENSP00000302548
9606	BHLHA15	9606.ENSP00000476312
9606	FAM160B1	9606.ENSP00000358251
9606	PHACTR1	9606.ENSP00000329880
9606	LEPREL1	9606.ENSP00000316881
9606	ZNF783	9606.ENSP00000410890
9606	CYP2C18	9606.ENSP00000285979
9606	UBXN1	9606.ENSP00000294119
9606	PEX1	9606.ENSP00000248633
9606	IFNGR1	9606.ENSP00000356713
9606	HPDL	9606.ENSP00000335060
9606	KIF17	9606.ENSP00000247986
9606	ADAMTS12	9606.ENSP00000422554
9606	MUC5B	9606.ENSP00000436812
9606	UCN2	9606.ENSP00000273610
9606	RNF19A	9606.ENSP00000428968
9606	CDK5R2	9606.ENSP00000304250
9606	CD164	9606.ENSP00000309376
9606	KCND1	9606.ENSP00000218176
9606	KRTAP10-11	9606.ENSP00000334197
9606	ZSCAN5B	9606.ENSP00000466072
9606	CORO1B	9606.ENSP00000377471
9606	CNP	9606.ENSP00000377470
9606	CHMP4B	9606.ENSP00000217402
9606	THSD1	9606.ENSP00000258613
