ACE
ADIPOQ
BCL2
BCL6
CDKN1A
COMT
CTLA4
CYP17A1
CYP1A1
CYP2E1
EDN1
EPHX1
FCGR3A
GSTM1
GSTP1
GSTT1
HLA-A
HLA-B
HLA-C
HLA-DPB1
HLA-DQA1
HLA-DQB1
HLA-DRB1
IL1B
LEP
LEPR
MTHFR
MTR
MYC
NAT1
NAT2
NQO1
PRL
RFC1
SHMT1
TLR4
TNF
TNFRSF1A
TNFRSF1B
TOP2A
TP53
TYMS
